MEP,KPI,Quarter,Predicted_KPI,Intercept,DL_HC_Used,IDL_HC_Used,Coef_DL_HC,Coef_IDL_HC,FY22 Q1,FY22 Q2,FY22 Q3,FY22 Q4,FY23 Q1,FY23 Q2,FY23 Q3,FY23 Q4,FY24 Q1,FY24 Q2,FY24 Q3,FY24 Q4,FY25 Q1,FY25 Q2,FY25 Q3,FY25 Q4
"GSS Bangalore, IND_1",Direct Labor Cost,FY26 Q1,9343017.47206678,9106063.714217365,202.0,90.0,1208.497352190952,-79.58563659061954,4166343.78,12994591.17,13081959.22,13910275.0,11348940.44,14449052.56,7642529.95,5155482.5,9334056.42,8783393.32,5945475.78,11696138.89,7634796.05,2801577.55,11212577.54,12585467.6
"GSS Bangalore, IND_10",Direct Labor Cost,FY26 Q1,9206548.386788785,7058316.621000739,813.0,255.0,4265.683774354988,-5175.565265735527,12154390.38,7228206.97,13142699.54,4158182.86,10656274.33,12274736.3,10168671.71,9433541.1,10908558.41,8126564.26,2378386.02,5044495.26,10927069.11,7690956.3,2322033.01,13337135.81
"GSS Bangalore, IND_2",Direct Labor Cost,FY26 Q1,10133523.04119293,6850455.928278436,1091.0,232.0,4552.342700621482,-7256.632644239413,6834765.2,2891539.38,13865972.49,9893909.22,6575125.73,9815012.43,10545552.27,4164101.27,8917153.34,10468272.25,6088731.82,9898106.43,10430947.2,4286759.23,10160612.69,5516316.2
"GSS Bangalore, IND_3",Direct Labor Cost,FY26 Q1,9390098.658160029,13425502.662794571,1494.0,42.0,-2360.536281475666,-12113.400002616625,13946914.97,13062496.73,7654589.64,12098726.44,6109983.74,6477266.71,9613845.01,9369077.62,6100713.84,5194868.93,3524913.18,11127951.71,9526686.79,4115846.05,14162123.95,2135168.62
"GSS Bangalore, IND_4",Direct Labor Cost,FY26 Q1,8523030.459798928,4199528.403039087,1065.0,325.0,-883.2997996336321,16197.588748829725,9875063.96,8727411.59,14694298.02,3164563.85,2417272.08,9469426.5,11585547.63,5087316.41,4776978.23,7743838.73,2826155.79,14925630.42,10575036.31,12215144.04,9000617.29,14639021.58
"GSS Bangalore, IND_5",Direct Labor Cost,FY26 Q1,6124755.873566598,6461453.173400322,1302.0,429.0,-837.0373711204135,1755.5369635549048,5856926.08,4124565.37,3503202.78,13094002.38,9339949.26,10503968.23,3043202.08,2174581.17,2402312.48,6843754.61,12315369.9,2276086.34,10022354.98,14948987.49,7685440.78,9059265.59
"GSS Bangalore, IND_6",Direct Labor Cost,FY26 Q1,7564914.359551802,5249535.904362019,759.0,244.0,96.84007402811022,9188.019831977243,4690328.48,2225200.56,5729574.25,9024984.69,8096871.74,11596743.42,7373033.73,12179558.83,14919955.76,12964213.55,2608973.67,6930329.13,14363938.14,4836063.34,11166981.29,6583861.93
"GSS Bangalore, IND_7",Direct Labor Cost,FY26 Q1,8319497.110759558,6963229.3476184355,1433.0,204.0,130.55332998668877,5731.298241520574,7722116.19,6649409.62,7797369.26,2591065.1,9045116.15,4353812.04,7496006.96,7593673.42,13663078.13,12633039.02,8088192.52,11911350.57,13590300.51,7731938.33,10554512.33,12228483.33
"GSS Bangalore, IND_8",Direct Labor Cost,FY26 Q1,5376418.282205846,8567906.848635042,327.0,400.0,2547.275657408912,-10061.119266004776,3268645.39,11539626.64,6304938.89,10539790.86,7781852.57,10741806.7,13493774.6,7919622.05,7056505.3,2454056.01,5140769.96,5369766.68,11853740.91,11236861.04,12488059.75,11561994.52
"GSS Bangalore, IND_9",Direct Labor Cost,FY26 Q1,9338662.018631062,13033219.880341334,1177.0,262.0,-2239.429073779745,-4041.0299308072986,8996307.11,9520489.27,7978233.21,13342161.31,6583107.34,7662871.33,12147218.44,2907433.79,10731139.11,12997468.13,10446880.43,13687892.59,8667173.91,9670210.39,5796637.22,4930875.21
"GSS Corlu, TUR_1",Direct Labor Cost,FY26 Q1,3106458.464448456,198542.97097628098,579.0,50.0,3756.5643564479437,14657.294621776311,2917080.54,4426871.39,3582868.79,2978368.74,11282327.09,6844360.99,10026450.55,5651881.28,9601512.14,5990911.53,13973786.84,3575016.21,8807311.87,3657062.26,13619408.21,7246422.54
"GSS Corlu, TUR_10",Direct Labor Cost,FY26 Q1,11499518.105261683,6199194.304646065,900.0,466.0,386.34890350247116,10627.917998848485,9030424.03,5181384.55,11929174.43,11881137.11,13443175.55,6579032.19,8334184.44,4981463.07,3680869.37,8342622.48,13324319.79,11415259.88,13589445.95,5840057.11,2551992.75,10248970.41
"GSS Corlu, TUR_2",Direct Labor Cost,FY26 Q1,8159457.446028795,7948113.232434854,1448.0,280.0,-652.933162345973,4131.397973824678,2030575.92,14212688.56,12742855.79,6838919.18,5919420.65,5770710.45,13155471.48,3106656.93,8926666.94,5254185.26,8386731.99,14530809.43,11422477.87,6634250.53,7405872.78,13296240.82
"GSS Corlu, TUR_3",Direct Labor Cost,FY26 Q1,7583024.9653827455,8374795.178656745,559.0,483.0,1302.311246861005,-3146.5055906196703,7743459.73,4073339.32,12858138.09,9649668.89,3695069.67,7331060.23,13388060.55,9673069.6,2433345.57,10012248.63,12693309.05,9248187.57,12312744.24,6032004.05,2568586.65,8577430.32
"GSS Corlu, TUR_4",Direct Labor Cost,FY26 Q1,13599197.544632321,5945152.227526534,1237.0,500.0,3338.3730273564024,7048.955764531835,13944490.99,10277317.77,7864102.48,10975912.14,14377476.64,11776005.41,13697674.18,2148521.99,4932158.04,13471699.76,9058605.11,9535584.98,4077369.84,14091759.13,10313022.48,4183909.38
"GSS Corlu, TUR_5",Direct Labor Cost,FY26 Q1,7427940.258038587,5906631.573700773,433.0,52.0,4342.023047948838,-6899.755681231397,3607022.85,7144763.7,3965984.13,13965801.31,6544304.84,10181206.96,14404013.44,3811775.55,3580043.21,5260930.61,7135668.48,7118245.17,4938112.75,4251532.47,9680166.21,14383526.09
"GSS Corlu, TUR_6",Direct Labor Cost,FY26 Q1,6529525.759140224,9128440.75163416,958.0,310.0,139.18129586316937,-8813.711851389846,7846784.83,3263673.71,5521178.0,3634452.17,7215644.66,10125722.69,2759528.36,3482907.07,13585031.23,11781773.1,2975885.93,8316175.69,9435627.72,6599024.6,11245296.65,9291289.05
"GSS Corlu, TUR_7",Direct Labor Cost,FY26 Q1,5037060.157873844,11366304.464952793,1488.0,349.0,-2150.5887188570846,-8966.0982619473,10880859.74,6887448.56,10991802.1,12502592.61,7795286.34,7795792.75,12885838.32,5084123.76,2602822.07,4403789.17,5711721.79,4944598.82,14828737.68,5619496.65,11935004.71,2218806.63
"GSS Corlu, TUR_8",Direct Labor Cost,FY26 Q1,4786285.662698505,16942977.71508182,1337.0,407.0,-8008.837984986667,-3559.8910723738068,3582446.52,8669792.54,9155226.44,4136559.67,2603305.29,8855569.64,6649473.46,6362332.27,11423480.46,6263539.1,13403364.93,14579999.89,5655580.78,3714621.88,12754098.6,4273372.71
"GSS Corlu, TUR_9",Direct Labor Cost,FY26 Q1,7868627.475750994,7142468.05980394,819.0,481.0,266.23951330516024,1056.360196569911,2825865.72,9196519.88,8616982.77,11259137.52,11063326.99,8003456.75,9496240.81,4708898.75,9697780.09,3899819.36,11032916.81,2379581.99,3035931.57,9427084.32,12811836.03,5099103.98
